Date,Expiry Date,Call Last,Call Bid,Call Ask,Put Last,Put Bid,Put Ask,Strike Price,Underlying Price
 2023-01-03, 2023-01-13,0.22,0.22,0.23,15.25,14.8,15.0,140.0,125.01
 2023-01-03, 2023-01-13,0.17,0.18,0.19,16.5,15.7,15.95,141.0,125.01
 2023-01-03, 2023-01-13,0.15,0.14,0.16,17.31,16.7,16.95,142.0,125.01
 2023-01-03, 2023-01-13,0.12,0.12,0.13,18.34,17.7,17.95,143.0,125.01
 2023-01-03, 2023-01-13,0.1,0.1,0.11,19.4,18.6,18.95,144.0,125.01
 2023-01-03, 2023-01-13,0.09,0.08,0.09,20.07,19.65,19.95,145.0,125.01
 2023-01-03, 2023-01-13,0.07,0.07,0.08,20.71,20.65,20.9,146.0,125.01
 2023-01-03, 2023-01-13,0.06,0.06,0.07,18.87,21.65,21.95,147.0,125.01
 2023-01-03, 2023-01-13,0.05,0.05,0.06,21.29,22.65,22.85,148.0,125.01
 2023-01-03, 2023-01-13,0.06,0.04,0.06,20.9,23.6,23.9,149.0,125.01
 2023-01-03, 2023-01-13,0.04,0.04,0.05,20.87,24.6,24.95,150.0,125.01
 2023-01-03, 2023-01-13,0.03,0.02,0.04,22.3,27.15,27.55,152.5,125.01
 2023-01-03, 2023-01-13,0.03,0.02,0.03,26.3,29.55,29.95,155.0,125.01
 2023-01-03, 2023-01-13,0.03,0.01,0.03,29.55,32.2,32.5,157.5,125.01
 2023-01-03, 2023-01-13,0.02,0.01,0.02,25.9,34.55,34.95,160.0,125.01
 2023-01-03, 2023-01-13,0.02,0.01,0.02,33.51,37.05,37.45,162.5,125.01
 2023-01-03, 2023-01-13,0.02,0.0,0.02,38.3,39.65,40.0,165.0,125.01
 2023-01-03, 2023-01-13,0.02,0.0,0.02,0.0,42.15,42.45,167.5,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,0.0,44.55,44.9,170.0,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,0.0,49.55,49.9,175.0,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,0.0,54.65,55.0,180.0,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,56.85,59.7,59.95,185.0,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,0.0,64.55,64.9,190.0,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,0.0,69.55,69.9,195.0,125.01
 2023-01-03, 2023-01-13,0.01,0.0,0.01,70.21,74.55,74.9,200.0,125.01
 2023-01-03, 2023-01-13,0.02,0.0,0.01,0.0,79.65,80.0,205.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,84.7,85.0,210.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,89.55,89.9,215.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,94.55,94.9,220.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,98.05,99.55,99.9,225.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,104.55,104.9,230.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,109.55,109.9,235.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,114.55,114.9,240.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,119.6,119.9,245.0,125.01
 2023-01-03, 2023-01-13,0.0,0.0,0.01,0.0,124.6,124.9,250.0,125.01
 2023-01-03, 2023-01-20,100.53,95.15,95.45,0.01,0.0,0.01,30.0,125.01
 2023-01-03, 2023-01-20,116.95,90.2,90.45,0.01,0.0,0.01,35.0,125.01
 2023-01-03, 2023-01-20,95.7,85.15,85.4,0.01,0.0,0.01,40.0,125.01
 2023-01-03, 2023-01-20,75.0,75.25,75.5,0.01,0.0,0.01,50.0,125.01
 2023-01-03, 2023-01-20,72.95,70.2,70.6,0.01,0.0,0.02,55.0,125.01
 2023-01-03, 2023-01-20,66.68,65.15,65.45,0.03,0.0,0.02,60.0,125.01
 2023-01-03, 2023-01-20,63.88,60.25,60.6,0.02,0.01,0.02,65.0,125.01
 2023-01-03, 2023-01-20,54.94,55.25,55.5,0.02,0.01,0.02,70.0,125.01
 2023-01-03, 2023-01-20,53.2,50.3,50.6,0.02,0.02,0.03,75.0,125.01
 2023-01-03, 2023-01-20,44.7,45.2,45.55,0.03,0.03,0.04,80.0,125.01
 2023-01-03, 2023-01-20,40.03,40.25,40.65,0.05,0.04,0.06,85.0,125.01
 2023-01-03, 2023-01-20,34.9,35.4,35.65,0.07,0.06,0.08,90.0,125.01
 2023-01-03, 2023-01-20,33.0,30.4,30.7,0.11,0.1,0.11,95.0,125.01
 2023-01-03, 2023-01-20,25.48,25.5,25.8,0.17,0.16,0.17,100.0,125.01
 2023-01-03, 2023-01-20,20.4,20.65,20.9,0.29,0.29,0.3,105.0,125.01
 2023-01-03, 2023-01-20,15.75,15.95,16.2,0.58,0.58,0.59,110.0,125.01
 2023-01-03, 2023-01-20,11.32,11.55,11.7,1.16,1.18,1.19,115.0,125.01
 2023-01-03, 2023-01-20,9.1,9.15,9.25,1.74,1.79,1.81,118.0,125.01
 2023-01-03, 2023-01-20,8.3,8.4,8.5,2.05,2.02,2.04,119.0,125.01
 2023-01-03, 2023-01-20,7.83,7.7,7.8,2.31,2.33,2.34,120.0,125.01
 2023-01-03, 2023-01-20,7.2,7.0,7.1,2.64,2.63,2.65,121.0,125.01
 2023-01-03, 2023-01-20,6.25,6.35,6.45,2.93,2.97,3.0,122.0,125.01
 2023-01-03, 2023-01-20,5.51,5.7,5.8,3.31,3.3,3.4,123.0,125.01
 2023-01-03, 2023-01-20,5.25,5.15,5.2,3.65,3.7,3.8,124.0,125.01
 2023-01-03, 2023-01-20,4.62,4.55,4.65,4.2,4.15,4.25,125.0,125.01
 2023-01-03, 2023-01-20,4.1,4.05,4.1,4.6,4.65,4.7,126.0,125.01
 2023-01-03, 2023-01-20,3.6,3.55,3.6,5.2,5.15,5.2,127.0,125.01
 2023-01-03, 2023-01-20,3.16,3.1,3.15,5.71,5.7,5.75,128.0,125.01
 2023-01-03, 2023-01-20,2.73,2.69,2.71,6.25,6.25,6.35,129.0,125.01
 2023-01-03, 2023-01-20,2.34,2.32,2.33,6.9,6.9,6.95,130.0,125.01
 2023-01-03, 2023-01-20,2.01,1.97,1.99,7.72,7.55,7.6,131.0,125.01
 2023-01-03, 2023-01-20,1.64,1.67,1.69,8.24,8.25,8.35,132.0,125.01
 2023-01-03, 2023-01-20,1.45,1.42,1.44,9.22,9.0,9.1,133.0,125.01
 2023-01-03, 2023-01-20,1.18,1.17,1.19,9.8,9.75,9.85,134.0,125.01
 2023-01-03, 2023-01-20,1.0,0.98,1.0,10.7,10.45,10.7,135.0,125.01
 2023-01-03, 2023-01-20,0.84,0.81,0.83,11.8,11.25,11.5,136.0,125.01
 2023-01-03, 2023-01-20,0.64,0.67,0.69,12.65,12.15,12.4,137.0,125.01
 2023-01-03, 2023-01-20,0.57,0.55,0.57,13.65,13.1,13.3,138.0,125.01
 2023-01-03, 2023-01-20,0.46,0.46,0.47,14.35,13.95,14.2,139.0,125.01
 2023-01-03, 2023-01-20,0.4,0.38,0.39,15.15,14.85,15.15,140.0,125.01
 2023-01-03, 2023-01-20,0.32,0.32,0.33,16.3,15.8,16.1,141.0,125.01
 2023-01-03, 2023-01-20,0.27,0.27,0.28,16.98,16.7,17.0,142.0,125.01
 2023-01-03, 2023-01-20,0.23,0.22,0.23,18.46,17.8,18.1,143.0,125.01
 2023-01-03, 2023-01-20,0.19,0.19,0.2,19.44,18.65,18.9,144.0,125.01
 2023-01-03, 2023-01-20,0.17,0.16,0.17,19.88,19.65,19.95,145.0,125.01
 2023-01-03, 2023-01-20,0.15,0.14,0.15,21.66,20.65,20.95,146.0,125.01
 2023-01-03, 2023-01-20,0.11,0.12,0.13,16.85,21.65,21.9,147.0,125.01
 2023-01-03, 2023-01-20,0.11,0.1,0.11,19.85,22.6,22.95,148.0,125.01
 2023-01-03, 2023-01-20,0.1,0.09,0.1,20.4,23.65,23.95,149.0,125.01
 2023-01-03, 2023-01-20,0.09,0.08,0.09,24.98,24.6,24.9,150.0,125.01
 2023-01-03, 2023-01-20,0.06,0.06,0.07,25.7,27.15,27.5,152.5,125.01
 2023-01-03, 2023-01-20,0.06,0.05,0.06,30.13,29.65,30.05,155.0,125.01
 2023-01-03, 2023-01-20,0.05,0.04,0.05,0.0,32.15,32.45,157.5,125.01
 2023-01-03, 2023-01-20,0.03,0.03,0.04,34.9,34.65,35.05,160.0,125.01
 2023-01-03, 2023-01-20,0.03,0.02,0.03,26.75,37.15,37.4,162.5,125.01
 2023-01-03, 2023-01-20,0.02,0.02,0.03,39.87,39.65,39.95,165.0,125.01
 2023-01-03, 2023-01-20,0.02,0.01,0.02,45.15,44.65,44.9,170.0,125.01
 2023-01-03, 2023-01-20,0.01,0.01,0.02,50.2,49.65,49.95,175.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,55.25,54.65,54.9,180.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,60.35,59.6,59.95,185.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,65.2,64.65,64.9,190.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,70.35,69.65,69.9,195.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,75.1,74.55,74.9,200.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,48.6,79.65,80.0,205.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,84.3,84.55,84.9,210.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,76.75,89.6,89.9,215.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,92.92,94.65,95.0,220.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,73.05,99.65,100.0,225.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,105.15,104.65,104.9,230.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,62.89,109.55,109.9,235.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,91.44,114.65,115.0,240.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,109.2,119.6,119.85,245.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,111.04,124.7,125.0,250.0,125.01
 2023-01-03, 2023-01-20,0.0,0.0,0.01,0.0,129.7,129.95,255.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,115.67,134.55,134.9,260.0,125.01
 2023-01-03, 2023-01-20,0.0,0.0,0.01,0.0,139.55,139.9,265.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,124.3,144.6,144.95,270.0,125.01
 2023-01-03, 2023-01-20,0.0,0.0,0.01,0.0,149.55,149.9,275.0,125.01
 2023-01-03, 2023-01-20,0.02,0.0,0.01,150.4,154.65,155.0,280.0,125.01
 2023-01-03, 2023-01-20,0.0,0.0,0.01,154.05,159.55,159.9,285.0,125.01
 2023-01-03, 2023-01-20,0.02,0.0,0.01,160.4,164.55,164.9,290.0,125.01
 2023-01-03, 2023-01-20,0.01,0.0,0.01,170.3,174.7,174.95,300.0,125.01
 2023-01-03, 2023-01-27,0.0,75.15,75.6,0.01,0.0,0.02,50.0,125.01
 2023-01-03, 2023-01-27,74.65,70.2,70.75,0.03,0.01,0.03,55.0,125.01
 2023-01-03, 2023-01-27,0.0,65.2,65.7,0.02,0.01,0.03,60.0,125.01
 2023-01-03, 2023-01-27,0.0,60.2,60.65,0.17,0.02,0.04,65.0,125.01
 2023-01-03, 2023-01-27,0.0,55.25,55.75,0.04,0.03,0.04,70.0,125.01
 2023-01-03, 2023-01-27,0.0,50.3,50.75,0.05,0.04,0.06,75.0,125.01
 2023-01-03, 2023-01-27,0.0,45.3,45.75,0.07,0.06,0.07,80.0,125.01
 2023-01-03, 2023-01-27,39.94,40.35,40.85,0.1,0.08,0.1,85.0,125.01
 2023-01-03, 2023-01-27,45.76,35.4,35.9,0.14,0.12,0.13,90.0,125.01
 2023-01-03, 2023-01-27,42.5,30.5,30.95,0.19,0.18,0.2,95.0,125.01
 2023-01-03, 2023-01-27,24.99,25.65,26.05,0.32,0.3,0.33,100.0,125.01
 2023-01-03, 2023-01-27,23.66,20.9,21.35,0.56,0.53,0.57,105.0,125.01
 2023-01-03, 2023-01-27,16.2,16.4,16.8,1.01,0.98,1.0,110.0,125.01
 2023-01-03, 2023-01-27,18.15,13.85,14.15,1.48,1.37,1.45,113.0,125.01
 2023-01-03, 2023-01-27,17.28,13.05,13.3,1.72,1.57,1.65,114.0,125.01
 2023-01-03, 2023-01-27,12.05,12.15,12.5,1.78,1.76,1.82,115.0,125.01
 2023-01-03, 2023-01-27,0.0,11.4,11.75,2.04,1.95,2.03,116.0,125.01
 2023-01-03, 2023-01-27,10.75,10.7,10.95,2.26,2.2,2.29,117.0,125.01
 2023-01-03, 2023-01-27,0.0,9.9,10.2,2.52,2.44,2.55,118.0,125.01
 2023-01-03, 2023-01-27,9.65,9.25,9.5,2.89,2.72,2.82,119.0,125.01
 2023-01-03, 2023-01-27,8.5,8.5,8.8,3.15,3.0,3.15,120.0,125.01
 2023-01-03, 2023-01-27,7.74,7.9,8.15,3.58,3.35,3.45,121.0,125.01
 2023-01-03, 2023-01-27,7.0,7.2,7.5,4.0,3.7,3.85,122.0,125.01
 2023-01-03, 2023-01-27,6.65,6.6,6.9,4.21,4.1,4.25,123.0,125.01
 2023-01-03, 2023-01-27,6.15,6.05,6.25,4.6,4.55,4.65,124.0,125.01
 2023-01-03, 2023-01-27,5.6,5.5,5.7,4.99,5.0,5.05,125.0,125.01
 2023-01-03, 2023-01-27,5.15,5.0,5.15,5.47,5.35,5.5,126.0,125.01
 2023-01-03, 2023-01-27,4.6,4.5,4.6,6.37,5.85,6.0,127.0,125.01
 2023-01-03, 2023-01-27,4.2,4.0,4.15,6.75,6.35,6.55,128.0,125.01
 2023-01-03, 2023-01-27,3.5,3.55,3.7,7.13,7.0,7.1,129.0,125.01
 2023-01-03, 2023-01-27,3.23,3.15,3.25,7.7,7.55,7.7,130.0,125.01
 2023-01-03, 2023-01-27,2.8,2.78,2.9,8.26,8.1,8.35,131.0,125.01
 2023-01-03, 2023-01-27,2.41,2.43,2.5,9.05,8.8,9.05,132.0,125.01
 2023-01-03, 2023-01-27,2.16,2.12,2.21,9.5,9.45,9.75,133.0,125.01
 2023-01-03, 2023-01-27,1.9,1.83,1.92,10.34,10.15,10.5,134.0,125.01
 2023-01-03, 2023-01-27,1.62,1.59,1.65,11.1,10.95,11.25,135.0,125.01
 2023-01-03, 2023-01-27,1.34,1.37,1.43,12.05,11.65,12.0,136.0,125.01
 2023-01-03, 2023-01-27,1.15,1.17,1.23,12.95,12.5,12.85,137.0,125.01
 2023-01-03, 2023-01-27,0.97,0.99,1.05,14.05,13.35,13.7,138.0,125.01
